s a r sp
23 6 0 
37 9 0 
21 6 0 
12 3 0 
88 16 0 
27 8 0 
38 9 0 
37 9 0 
34 7 0 
37 9 0 41
88 16 0 110
13 2 0 
11 2 0 
48 16 0 
44 11 0 
10 2 0 
71 14 0 
11 2 0 
16 4 0 
28 8 0 
56 12 0 
74 13 0 
15 4 0 
10 2 0 
12 3 100 16
33 5 0 
0 1 0 
34 7 0 
106 17 0 
12 3 0 18
88 16 0 110
14 3 0 
102 17 0 
66 14 0 
31 5 0 
16 4 0 33
14 3 0 18
71 14 0 
37 9 0 
27 8 0 38
100 17 0 
36 7 0 
10 2 0 
29 8 0 
30 8 0 
16 4 0 33
11 2 0 
30 8 0 37
78 16 0 
40 13 0 
23 6 0 36
91 15 0 
30 8 0 
78 16 0 110
71 13 0 
21 6 0 35
30 8 0 37
30 8 0 
102 17 0 110
53 12 0 
78 16 0 110
13 2 0 
86 14 0 
108 16 0 
78 16 0 110
31 5 0 
12 3 0 18
27 8 0 38
108 16 0 110
10 2 0 
94 15 0 
15 4 0 33
21 6 0 
21 6 0 35
14 3 -100 17
42 13 0 
16 4 0 
11 2 0 15
15 4 0 
31 5 0 
34 7 0 30
35 7 0 
108 16 0 110
27 8 0 
94 15 0 
15 4 0 31
35 7 0 28
88 16 0 110
10 2 0 15
22 6 0 
10 2 0 
98 16 0 
104 17 0 
95 15 0 
15 4 0 31
33 5 0 
108 16 0 110
35 7 0 29
22 6 0 
58 16 0 
37 9 0 
61 14 0 
93 15 0 
39 9 0 
98 16 0 110
105 17 0 
88 16 0 110
56 11 0 
23 6 0 
33 5 0 
68 16 0 
17 4 0 
108 16 0 110
80 14 0 
55 13 0 
39 9 0 
73 13 0 
85 14 0 
108 16 0 110
88 16 0 110
0 1 0 14
34 7 0 
30 8 0 
23 6 0 36
33 5 0 
23 6 0 
78 16 0 110
21 6 0 34
29 8 0 39
45 12 0 
68 16 0 110
48 16 0 110
18 4 0 
38 9 0 
17 4 0 33
16 4 0 33
58 16 0 110
68 16 0 110
33 5 0 23
93 15 0 
58 16 0 110
18 4 0 33
16 4 0 33
10 2 0 18
36 7 0 
20 6 0 
19 6 0 
17 4 0 31
12 3 0 
55 14 0 
100 17 0 110
38 9 0 40
39 9 0 48
78 16 0 110
33 5 0 21
14 3 0 
37 9 0 
28 8 0 
98 16 0 110
23 6 0 
16 4 0 33
